Date;Censed by;Project;Place;Site_ID;State;Initial_Ho;Transect_T;Latitude;Longitude;Males;Females;NA;Juveniles;Veg_Male;Veg_Female;Veg_Juv;Veg_NA;Tarentola;Snake;Total Male;Total Fema;Total Juve;Total NA;Comments;Weather_Co;Population;Polygon ar;Corine Urb;Edificat %;Index Urb;Size_dot;Year_inv;Distance;Inv_state;Classifica
29/06/2022;Balma;Urban;Santa_Eularia;Park;Snake;12:17;Point Count;38,98423532;1,535245559;0;0;0;0;0;0;0;2;0;0;0;0;0;2;;Sunny;40038;202689;100.000.000.000.000.000;33.058.252.430.000.000;0,9166667;4;2013,06226;4929,630248;Invaded;Invaded_Urban
20/06/2022;Jordi;Urban;Santa_Eularia;Park_2;Snake;12:03;;38,98544662;1,542142609;0;0;0;0;1;0;0;1;0;0;1;0;0;1;;Clowdy;40038;202689;100.000.000.000.000.000;31.585.760.520.000.000;1;4;2015,13525;5266,188895;Invaded;Invaded_Urban
21/06/2022;Jordi;Urban;Santa_Eularia;Park_2;Snake;10:32;;38,98544662;1,542142609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Condiciones meteorol�gicas desfavorables;Sunny_Clowdy;40038;202689;100.000.000.000.000.000;31.585.760.520.000.000;1;2;2015,13525;5266,188895;Invaded;Invaded_Urban
29/06/2022;Balma;Urban;Santa_Eularia;Park_2;Snake;9:54;Point Count;38,98544662;1,542142609;0;0;0;0;2;0;0;3;0;0;2;0;0;3;;Sunny;40038;202689;100.000.000.000.000.000;31.585.760.520.000.000;1;7;2015,13525;5266,188895;Invaded;Invaded_Urban
12/06/2022;Sanda, Balma;Urban;Santa_Gertrudis;Park_2;Snake;16:33;Point Count;38,99811586;1,426333707;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;2853;10215;100.000.000.000.000.000;100.000.000.000.000.000;0,9;2;2015,14661;5436,399688;Invaded;Invaded_Urban
30/06/2022;Jordi;Urban;Santa_Gertrudis;Park_2;Snake;9:01;Point Count;38,99811586;1,426333707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;2853;10215;100.000.000.000.000.000;100.000.000.000.000.000;0,9;2;2015,14661;5436,399688;Invaded;Invaded_Urban
21/07/2022;Jordi;PeriUrban;Sant_Carles;Mur_Ext_1;Snake;9:45;Point Count;39,03889483;1,560204178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;5557;732585;0;0;0;2;2016,27051;7195,438474;Invaded;Invaded_PeriUrban
30/06/2022;Jordi;PeriUrban;Sant_Carles;Mur_Ext_3;Snake;10:55;Point Count;39,03742823;1,566763734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;5557;732585;0;0;0;2;2015,97754;7643,846914;Invaded;Invaded_PeriUrban
30/06/2022;Jordi;PeriUrban;Sant_Carles;Mur_Ext_3;Snake;12:09;Point Count;39,03742823;1,566763734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;5557;732585;0;0;0;2;2015,97754;7643,846914;Invaded;Invaded_PeriUrban
21/07/2022;Jordi;PeriUrban;Sant_Carles;Mur_Ext_3;Snake;9:58;Point Count;39,03742823;1,566763734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;5557;732585;0;0;0;2;2015,97754;7643,846914;Invaded;Invaded_PeriUrban
30/06/2022;Jordi;PeriUrban;Sant_Carles;Mur_Ext_4;Snake;11:52;Point Count;39,02776298;1,570291271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;5557;732585;0;0;0;2;2019,18567;7436,117294;Invaded;Invaded_PeriUrban
21/07/2022;Jordi;PeriUrban;Sant_Carles;Mur_Ext_4;Snake;10:16;Point Count;39,02776298;1,570291271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;5557;732585;0;0;0;2;2019,18567;7436,117294;Invaded;Invaded_PeriUrban
30/06/2022;Jordi;Urban;Sant_Carles;Church_Park;Snake;11:10;Point Count;39,03419991;1,56537098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;5557;4527;0;80.525.889.969.999.900;0,6;2;2015,92139;7442,740128;Invaded;Invaded_Urban
21/07/2022;Jordi;Urban;Sant_Carles;Church_Park;Snake;9:23;Point Count;39,03419991;1,56537098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;5557;4527;0;80.525.889.969.999.900;0,6;2;2015,92139;7442,740128;Invaded;Invaded_Urban
21/07/2022;Jordi;Urban;Sant_Carles;Wall_2;Snake;9:08;Point Count;39,03288657;1,56519732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;5557;4527;0;0;0,2125;2;2015,92139;7442,740128;Invaded;Invaded_Urban
30/06/2022;Jordi;Urban;Sant_Carles;Wall_2;Snake;11:15;Point Count;39,03288657;1,56519732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;5557;4527;0;0;0,2125;2;2015,92139;7442,740128;Invaded;Invaded_Urban
21/07/2022;Jordi;PeriUrban;Sant_Llorenc;Mur_Ext_1;Snake;11:43;Point Count;39,02750166;1,478700381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;1762;323448;0;0;0;2;2014,97778;2360,444483;Invaded;Invaded_PeriUrban
22/07/2022;Jordi;PeriUrban;Sant_Llorenc;Mur_Ext_1;Snake;10:28;Point Count;39,02750166;1,478700381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;1762;323448;0;0;0;2;2014,97778;2360,444483;Invaded;Invaded_PeriUrban
21/07/2022;Jordi;PeriUrban;Sant_Llorenc;Mur_Ext_2;Snake;11:50;Point Count;39,03477447;1,470323063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;1762;323448;0;0;0;2;2016,98608;3319,779687;Invaded;Invaded_PeriUrban
22/07/2022;Jordi;PeriUrban;Sant_Llorenc;Mur_Ext_2;Snake;11:02;Point Count;39,03477447;1,470323063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;1762;323448;0;0;0;2;2016,98608;3319,779687;Invaded;Invaded_PeriUrban
21/07/2022;Jordi;PeriUrban;Sant_Llorenc;Mur_Ext_3;Snake;11:08;Point Count;39,03413333;1,484760012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;1762;323448;0;0;0;2;2015,67932;3034,98085;Invaded;Invaded_PeriUrban
22/07/2022;Jordi;PeriUrban;Sant_Llorenc;Mur_Ext_3;Snake;10:45;Point Count;39,03413333;1,484760012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;1762;323448;0;0;0;2;2015,67932;3034,98085;Invaded;Invaded_PeriUrban
21/07/2022;Jordi;PeriUrban;Sant_Llorenc;Mur_Ext_4;Snake;11:16;Point Count;39,03212704;1,479132767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;1762;323448;0;0;0;2;2014,76514;2847,007756;Invaded;Invaded_PeriUrban
22/07/2022;Jordi;PeriUrban;Sant_Llorenc;Mur_Ext_4;Snake;10:36;Point Count;39,03212704;1,479132767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;1762;323448;0;0;0;2;2014,76514;2847,007756;Invaded;Invaded_PeriUrban
21/06/2022;Jordi;PeriUrban;Santa_Eularia;Mur_Ext_2;Snake;11:10;;38,96606308;1,512028355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Condiciones meteorol�gicas desfavorables;Sunny_Clowdy;40038;6880045;0;0;0;2;2019,56018;5185,60182;Invaded;Invaded_PeriUrban
30/06/2022;Jordi;PeriUrban;Santa_Eularia;Mur_Ext_2;Snake;12:55;Point Count;38,96606308;1,512028355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;40038;6880045;0;0;0;2;2019,56018;5185,60182;Invaded;Invaded_PeriUrban
30/06/2022;Jordi;PeriUrban;Santa_Eularia;Mur_Ext_3;Snake;12:43;Point Count;39,00203816;1,56437231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;40038;6880045;0;0;0;2;2018,84265;6691,2119;Invaded;Invaded_PeriUrban
22/07/2022;Jordi;PeriUrban;Santa_Eularia;Mur_Ext_3;Snake;11:45;Point Count;39,00203816;1,56437231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;40038;6880045;0;0;0;2;2018,84265;6691,2119;Invaded;Invaded_PeriUrban
20/06/2022;Jordi;Urban;Santa_Eularia;Church_Wall;Snake;11:35;;38,98379345;1,529502913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Clowdy;40038;202689;100.000.000.000.000.000;81.100.323.619.999.900;0,9;2;2013,04614;4552,294126;Invaded;Invaded_Urban
21/06/2022;Jordi;Urban;Santa_Eularia;Church_Wall;Snake;10:09;;38,98379345;1,529502913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Condiciones meteorol�gicas desfavorables;Sunny_Clowdy;40038;202689;100.000.000.000.000.000;81.100.323.619.999.900;0,9;2;2013,04614;4552,294126;Invaded;Invaded_Urban
29/06/2022;Balma;Urban;Santa_Eularia;Church_Wall;Snake;9:25;Point Count;38,98379345;1,529502913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;40038;202689;100.000.000.000.000.000;81.100.323.619.999.900;0,9;2;2013,04614;4552,294126;Invaded;Invaded_Urban
20/06/2022;Jordi;Urban;Santa_Eularia;Wall_2;Snake;12:16;;38,97916177;1,527941339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;40038;202689;100.000.000.000.000.000;41.529.126.210.000.000;0,6333333;2;2013,8064;4682,720078;Invaded;Invaded_Urban
21/06/2022;Jordi;Urban;Santa_Eularia;Wall_2;Snake;9:50;;38,97916177;1,527941339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Condiciones meteorol�gicas desfavorables;Sunny_Clowdy;40038;202689;100.000.000.000.000.000;41.529.126.210.000.000;0,6333333;2;2013,8064;4682,720078;Invaded;Invaded_Urban
29/06/2022;Balma;Urban;Santa_Eularia;Wall_2;Snake;9:07;Point Count;38,97916177;1,527941339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;40038;202689;100.000.000.000.000.000;41.529.126.210.000.000;0,6333333;2;2013,8064;4682,720078;Invaded;Invaded_Urban
12/06/2022;Sanda, Balma;PeriUrban;Santa_Gertrudis;Mur_Ext_1;Snake;17:05;Point Count;38,99821481;1,433661567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Shadow;Sunny;2853;779829;0;0;0;2;2014,66443;4700,137904;Invaded;Invaded_PeriUrban
30/06/2022;Jordi;PeriUrban;Santa_Gertrudis;Mur_Ext_1;Snake;9:23;Point Count;38,99821481;1,433661567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;2853;779829;0;0;0;2;2014,66443;4700,137904;Invaded;Invaded_PeriUrban
30/06/2022;Jordi;PeriUrban;Santa_Gertrudis;Mur_Ext_2;Snake;8:44;Point Count;38,99966116;1,418373947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;2853;779829;0;0;0;2;2017,55481;5893,541037;Invaded;Invaded_PeriUrban
21/07/2022;Jordi;PeriUrban;Santa_Gertrudis;Mur_Ext_2;Snake;12:17;Point Count;38,99966116;1,418373947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;2853;779829;0;0;0;2;2017,55481;5893,541037;Invaded;Invaded_PeriUrban
12/06/2022;Sanda, Balma;PeriUrban;Santa_Gertrudis;Mur_Ext_3;Snake;16:52;Point Count;38,9941304;1,429406014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Shadow;Sunny;2853;779829;0;0;0;2;2015,95105;5306,535678;Invaded;Invaded_PeriUrban
30/06/2022;Jordi;PeriUrban;Santa_Gertrudis;Mur_Ext_3;Snake;9:15;Point Count;38,9941304;1,429406014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;2853;779829;0;0;0;2;2015,95105;5306,535678;Invaded;Invaded_PeriUrban
30/06/2022;Jordi;PeriUrban;Santa_Gertrudis;Mur_Ext_4;Snake;8:29;Point Count;39,00491372;1,427161564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;2853;779829;0;0;0;2;2014,77307;5104,220875;Invaded;Invaded_PeriUrban
21/07/2022;Jordi;PeriUrban;Santa_Gertrudis;Mur_Ext_4;Snake;12:08;Point Count;39,00491372;1,427161564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;2853;779829;0;0;0;2;2014,77307;5104,220875;Invaded;Invaded_PeriUrban
12/06/2022;Sanda, Balma;Urban;Santa_Gertrudis;Church_Wall;Snake;16:11;Point Count;38,99830741;1,428881052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2853;10215;100.000.000.000.000.000;83.482.200.649.999.900;1;2;2014,4812;5190,538077;Invaded;Invaded_Urban
30/06/2022;Jordi;Urban;Santa_Gertrudis;Church_Wall;Snake;8:57;Point Count;38,99830741;1,428881052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;2853;10215;100.000.000.000.000.000;83.482.200.649.999.900;1;2;2014,4812;5190,538077;Invaded;Invaded_Urban
12/06/2022;Sanda, Balma;Urban;Santa_Gertrudis;Park;Snake;16:27;Point Count;38,99892255;1,427183598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Half Shadow;;2853;10215;100.000.000.000.000.000;100.000.000.000.000.000;1;2;2014,4812;5190,538077;Invaded;Invaded_Urban
30/06/2022;Jordi;Urban;Santa_Gertrudis;Park;Snake;8:55;Point Count;38,99892255;1,427183598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;2853;10215;100.000.000.000.000.000;100.000.000.000.000.000;1;2;2014,4812;5190,538077;Invaded;Invaded_Urban
12/06/2022;Sanda, Balma;Urban;Santa_Gertrudis;Wall_2;Snake;16:18;Point Count;38,99826353;1,429585894;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Shadow;;2853;10215;100.000.000.000.000.000;100.000.000.000.000.000;0,9875;2;2014,4812;5190,538077;Invaded;Invaded_Urban
30/06/2022;Jordi;Urban;Santa_Gertrudis;Wall_2;Snake;8:57;Point Count;38,99826353;1,429585894;0;0;0;0;0;0;1;0;0;0;0;0;1;0;;Sunny;2853;10215;100.000.000.000.000.000;100.000.000.000.000.000;0,9875;3;2014,4812;5190,538077;Invaded;Invaded_Urban
16/06/2022;Jordi;PeriUrban;Puig_den_Valls;Mur_Ext_3;Snake;10:01;;38,94977765;1,44076994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;4607;547986;0;0;0;2;2018,61267;7448,010926;Invaded;Invaded_PeriUrban
30/06/2022;Jordi;PeriUrban;Sant_Carles;Mur_Ext_2;Snake;12:20;Point Count;39,03324093;1,556883623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;5557;732585;0;0;0;2;2016,56921;6752,842264;Invaded;Invaded_PeriUrban
21/07/2022;Jordi;PeriUrban;Sant_Carles;Mur_Ext_2;Snake;9:33;Point Count;39,03324093;1,556883623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;5557;732585;0;0;0;2;2016,56921;6752,842264;Invaded;Invaded_PeriUrban
30/06/2022;Jordi;Urban;Sant_Carles;Park;Snake;11:19;Point Count;39,03319469;1,565437764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;5557;4527;0;2.831.715.210.000.000;0,25;2;2015,92139;7442,740128;Invaded;Invaded_Urban
21/07/2022;Jordi;Urban;Sant_Carles;Park;Snake;9:12;Point Count;39,03319469;1,565437764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;5557;4527;0;2.831.715.210.000.000;0,25;2;2015,92139;7442,740128;Invaded;Invaded_Urban
30/06/2022;Jordi;Urban;Sant_Carles;Wall;Snake;11:06;Point Count;39,03412398;1,566043038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;5557;4527;0;100.000.000.000.000.000;0,2375;2;2015,92139;7442,740128;Invaded;Invaded_Urban
21/07/2022;Jordi;Urban;Sant_Carles;Wall;Snake;9:18;Point Count;39,03412398;1,566043038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;5557;4527;0;100.000.000.000.000.000;0,2375;2;2015,92139;7442,740128;Invaded;Invaded_Urban
09/06/2022;Sandra, Jordi;PeriUrban;Sant_Joan;Mur_Ext_1;Snake;11:03;Point Count;39,07770067;1,508077973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;6635;531858;0;0;0;2;2017,85535;8013,219641;Invaded;Invaded_PeriUrban
01/05/2022;Guillem,Eva;PeriUrban;Sant_Joan;Mur_Ext_1;Snake;12:04;Point Count;39,07770067;1,508077973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;6635;531858;0;0;0;2;2017,85535;8013,219641;Invaded;Invaded_PeriUrban
09/06/2022;Sandra, Jordi;PeriUrban;Sant_Joan;Mur_Ext_4;Snake;11:13;Point Count;39,07068469;1,514012774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Shadow;Cloudy;6635;531858;0;0;0;2;2018,50244;7432,897013;Invaded;Invaded_PeriUrban
01/05/2022;Guillem,Eva;PeriUrban;Sant_Joan;Mur_Ext_4;Snake;12:04;Point Count;39,07068469;1,514012774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;6635;531858;0;0;0;2;2018,50244;7432,897013;Invaded;Invaded_PeriUrban
30/06/2022;Jordi;Urban;Sant_Llorenc;Wall_2;Snake;10:37;Point Count;39,03153081;1,476312165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;1762;4138;0;0;0,425;2;2014,14636;2909,883216;Invaded;Invaded_Urban
21/07/2022;Jordi;Urban;Sant_Llorenc;Wall_2;Snake;11:28;Point Count;39,03153081;1,476312165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;1762;4138;0;0;0,425;2;2014,14636;2909,883216;Invaded;Invaded_Urban
13/07/2022;Jordi;PeriUrban;Sant_Mateu;Mur_Ext_1;Snake;10:04;Point Count;39,03406787;1,382223242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;593;1116882;0;0;0;2;2017,68542;9592,484936;Invaded;Invaded_PeriUrban
08/06/2022;Sandra, Jordi;PeriUrban;Sant_Mateu;Mur_Ext_1;Snake;11:22;Point Count;39,03406787;1,382223242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Muchos nidos de avispa habitados en el muro.;;593;1116882;0;0;0;2;2017,68542;9592,484936;Invaded;Invaded_PeriUrban
04/06/2022;Sandra,Guillem,Eva;PeriUrban;Sant_Miquel;Mur_Ext_2;Snake;17:18;Point Count;39,06152043;1,43794717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2191;1146246;0;0;0;2;2019,47424;7294,740422;Invaded;Invaded_PeriUrban
01/07/2022;Balma;PeriUrban;Sant_Miquel;Mur_Ext_2;Snake;12:34;Point Count;39,06152043;1,43794717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;2191;1146246;0;0;0;2;2019,47424;7294,740422;Invaded;Invaded_PeriUrban
04/06/2022;Sandra,Guillem,Eva;PeriUrban;Sant_Miquel;Mur_Ext_3;Snake;18:35;Point Count;39,05267088;1,431414473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2191;1146246;0;0;0;2;2016,85474;6989,738041;Invaded;Invaded_PeriUrban
01/07/2022;Balma;PeriUrban;Sant_Miquel;Mur_Ext_3;Snake;12:19;Point Count;39,05267088;1,431414473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;2191;1146246;0;0;0;2;2016,85474;6989,738041;Invaded;Invaded_PeriUrban
04/06/2022;Sandra,Guillem,Eva;PeriUrban;Sant_Miquel;Mur_Ext_4;Snake;18:09;Point Count;39,04901555;1,44473439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2191;1146246;0;0;0;2;2019,69165;5986,550499;Invaded;Invaded_PeriUrban
01/07/2022;Balma;PeriUrban;Sant_Miquel;Mur_Ext_4;Snake;11:27;Point Count;39,04901555;1,44473439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;2191;1146246;0;0;0;2;2019,69165;5986,550499;Invaded;Invaded_PeriUrban
08/07/2022;Jordi;PeriUrban;Sant_Rafael;Mur_Ext_2;Snake;10:48;Point Count;38,96204484;1,413395998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;2505;1604857;0;0;0;2;2020,93091;8062,375802;Invaded;Invaded_PeriUrban
13/07/2022;Jordi;PeriUrban;Sant_Rafael;Mur_Ext_2;Snake;8:38;Point Count;38,96204484;1,413395998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;2505;1604857;0;0;0;2;2020,93091;8062,375802;Invaded;Invaded_PeriUrban
05/07/2022;Jordi;PeriUrban;Eivissa;Mur_Ext_1;Snake;10:38;Point Count;38,92193732;1,418087606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;50643;391894;88.171.521.040.000.000;0;0,3;2;2020,17224;11263,52491;Invaded;Invaded_PeriUrban
06/07/2022;Jordi;PeriUrban;Eivissa;Mur_Ext_1;Snake;9:10;Point Count;38,92193732;1,418087606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;50643;391894;88.171.521.040.000.000;0;0,3;2;2020,17224;11263,52491;Invaded;Invaded_PeriUrban
05/07/2022;Jordi;PeriUrban;Eivissa;Mur_Ext_2;Snake;10:53;Point Count;38,91899594;1,413941815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;50643;391894;0;0;0;2;2020,85315;11748,00076;Invaded;Invaded_PeriUrban
06/07/2022;Jordi;PeriUrban;Eivissa;Mur_Ext_2;Snake;9:17;Point Count;38,91899594;1,413941815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;50643;391894;0;0;0;2;2020,85315;11748,00076;Invaded;Invaded_PeriUrban
20/06/2022;Jordi;Urban;Eivissa;Church_Wall;Snake;10:56;;38,90727902;1,43602249;0;0;4;0;0;0;0;0;0;0;0;0;0;4;;Sunny;50643;223821;100.000.000.000.000.000;76.626.213.590.000.000;1;6;2022,13318;11894,47257;Invaded;Invaded_Urban
06/07/2022;Jordi;Urban;Eivissa;Church_Wall;Snake;10:36;Point Count;38,90727902;1,43602249;1;0;1;0;0;0;0;0;0;0;1;0;0;1;;Sunny;50643;223821;100.000.000.000.000.000;76.626.213.590.000.000;1;4;2022,13318;11894,47257;Invaded;Invaded_Urban
20/06/2022;Jordi;Urban;Eivissa;Park_2;Snake;11:07;;38,90785332;1,437590071;0;0;0;0;9;2;1;0;0;0;9;2;1;0;;Sunny;50643;223821;100.000.000.000.000.000;0;1;14;2022,42114;11790,98435;Invaded;Invaded_Urban
06/07/2022;Jordi;Urban;Eivissa;Park_2;Snake;10:45;Point Count;38,90785332;1,437590071;0;0;0;0;7;4;3;0;0;0;7;4;3;0;;Sunny;50643;223821;100.000.000.000.000.000;0;1;16;2022,42114;11790,98435;Invaded;Invaded_Urban
04/06/2022;Sandra,Guillem,Eva;PeriUrban;Port_Sant_Miquel;Mur_Ext_1;Snake;17:00;Point Count;39,06826212;1,441836689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;206;266914;0;0;0;2;2020,31995;7800,059735;Invaded;Invaded_PeriUrban
01/07/2022;Balma;PeriUrban;Port_Sant_Miquel;Mur_Ext_1;Snake;13:00;Point Count;39,06826212;1,441836689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;206;266914;0;0;0;2;2020,31995;7800,059735;Invaded;Invaded_PeriUrban
04/06/2022;Sandra,Guillem,Eva;PeriUrban;Port_Sant_Miquel;Mur_Ext_2;Snake;16:15;Point Count;39,07447137;1,434671875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;206;266914;0;0;0;2;2018,09033;8699,517417;Invaded;Invaded_PeriUrban
